Student_ID,Cohort_Factor,Treatment,F2020_F2021_Retention,F2021_F2022_Retention,F2022_F2023_Retention,Gender_Factor,Academically_Disadvantaged_Factor,Enrollment_Status_Factor,TSIA_Math_College_Readiness_Factor,TSI_MATH_1_Factor,TSI_MATH_2_Factor,Age_Factor,Fall_2020_Productive_Credit_Ratio_1,Fall_2021_Productive_Credit_Ratio_1,Fall_2022_Productive_Credit_Ratio_1,Fall_2023_Productive_Credit_Ratio_1,Fall_2020_HOURS_EARNED_x,Fall_2021_HOURS_EARNED_x,Fall_2022_HOURS_EARNED_x,Fall_2023_HOURS_EARNED_x,Fall_2020_Academically_Eligible_Factor,Fall_2021_Academically_Eligible_1,Fall_2022_Academically_Eligible_Factor,Fall_2023_Academically_Eligible_Factor,Fall_2024_Academically_Eligible_1,Fall_2020_GPA_x,Spring_2021_GPA_x,Fall_2021_GPA_x,Spring_2022_GPA_x,Fall_2022_GPA_x,Spring_2023_GPA_x
857625.0,1,1,0.0,,,0,0,1,1.0,1.0,,0,100.0,100.0,,,15.0,9.0,,,1.0,1.0,,,,,3.0,2.0,,,
1261951.0,1,1,0.0,,,0,0,1,1.0,1.0,,0,100.0,100.0,,,16.0,4.0,,,1.0,1.0,,,,1.0,3.0,3.0,,,
1263342.0,1,1,1.0,0.0,,0,0,1,1.0,1.0,,0,100.0,100.0,100.0,,16.0,16.0,6.0,,1.0,1.0,1.0,,,1.0,2.0,2.0,3.0,3.0,
1269693.0,1,1,0.0,,0.0,0,0,1,1.0,1.0,,0,100.0,100.0,,100.0,15.0,4.0,,4.0,1.0,1.0,,1.0,,1.0,3.0,2.0,,,
1293901.0,1,1,1.0,0.0,,0,0,1,1.0,1.0,,0,100.0,100.0,100.0,,15.0,15.0,12.0,,1.0,1.0,1.0,,,1.0,3.0,3.0,3.0,3.0,
1294492.0,1,1,1.0,0.0,,0,0,1,1.0,1.0,,0,100.0,100.0,100.0,,15.0,16.0,13.0,,1.0,1.0,1.0,,,1.0,3.0,3.0,2.0,3.0,
1312914.0,1,1,1.0,0.0,,0,0,1,1.0,1.0,,0,100.0,100.0,100.0,,15.0,12.0,3.0,,1.0,1.0,1.0,,,1.0,3.0,3.0,3.0,3.0,
1313879.0,1,1,1.0,0.0,,0,0,1,1.0,1.0,,0,100.0,100.0,100.0,,15.0,12.0,3.0,,1.0,1.0,1.0,,,1.0,2.0,3.0,2.0,3.0,
1395566.0,1,1,0.0,,,0,0,1,1.0,1.0,,0,100.0,0.0,,,16.0,0.0,,,1.0,0.0,,,,0.0,0.0,,,,
1395720.0,1,1,0.0,,,0,0,1,1.0,1.0,,0,100.0,75.0,,,18.0,9.0,,,1.0,1.0,,,,0.0,2.0,2.0,2.0,,
1396195.0,1,1,0.0,,,0,0,1,1.0,1.0,,0,100.0,80.0,,,16.0,12.0,,,1.0,0.0,,,,0.0,2.0,0.0,1.0,,
1403140.0,1,1,1.0,0.0,,0,0,1,1.0,1.0,,0,100.0,100.0,100.0,,16.0,13.0,13.0,,1.0,1.0,1.0,,,1.0,3.0,3.0,3.0,3.0,
1406727.0,1,1,0.0,,,0,0,1,1.0,1.0,,0,100.0,100.0,,,15.0,12.0,,,1.0,1.0,,,,1.0,3.0,3.0,3.0,,
1226518.0,1,1,1.0,0.0,,1,0,1,1.0,1.0,,0,100.0,40.0,50.0,,15.0,6.0,3.0,,1.0,1.0,1.0,,,1.0,2.0,1.0,2.0,1.0,
1282070.0,1,1,0.0,,,1,0,1,1.0,1.0,,0,100.0,100.0,,,16.0,13.0,,,1.0,1.0,,,,1.0,3.0,3.0,3.0,,
1311673.0,1,1,1.0,0.0,,1,0,1,1.0,1.0,,0,100.0,100.0,100.0,,15.0,14.0,12.0,,1.0,1.0,1.0,,,1.0,3.0,3.0,1.0,2.0,1.0
1394762.0,1,1,1.0,0.0,,1,0,1,1.0,1.0,,0,100.0,78.5714285714286,81.25,,16.0,11.0,13.0,,1.0,1.0,1.0,,,0.0,2.0,3.0,2.0,3.0,2.0
1394786.0,1,1,0.0,,,1,0,1,1.0,1.0,,0,100.0,100.0,,,15.0,15.0,,,1.0,1.0,,,,0.0,2.0,2.0,3.0,,
1404723.0,1,1,0.0,,0.0,1,0,1,1.0,1.0,,0,100.0,50.0,,100.0,15.0,6.0,,14.0,1.0,1.0,,1.0,,0.0,1.0,2.0,1.0,,
879863.0,1,0,0.0,,,0,0,1,1.0,1.0,,0,100.0,100.0,,,15.0,14.0,,,1.0,1.0,,,,1.0,3.0,3.0,,,
1011766.0,1,0,1.0,1.0,1.0,0,0,1,1.0,1.0,,0,100.0,33.3333333333333,23.0769230769231,0.0,15.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,2.0,0.0,
1112326.0,1,0,0.0,,,0,0,1,1.0,1.0,,0,100.0,100.0,,,16.0,12.0,,,1.0,1.0,,,,1.0,3.0,3.0,3.0,,
1242783.0,1,0,0.0,,,0,0,1,1.0,1.0,,0,100.0,66.6666666666667,,,15.0,6.0,,,1.0,1.0,,,,1.0,2.0,1.0,1.0,,
1256331.0,1,0,0.0,,,0,0,1,1.0,1.0,,0,100.0,100.0,,,15.0,17.0,,,1.0,1.0,,,,1.0,3.0,3.0,,,
1276615.0,1,0,0.0,,,0,0,1,1.0,1.0,,0,100.0,100.0,,,17.0,5.0,,,1.0,1.0,,,,1.0,2.0,3.0,,,
1289721.0,1,0,0.0,,,0,0,1,1.0,1.0,,0,100.0,100.0,,,16.0,12.0,,,1.0,1.0,,,,1.0,3.0,3.0,,,
1296275.0,1,0,0.0,,,0,0,1,1.0,1.0,,0,100.0,60.0,,,15.0,9.0,,,1.0,1.0,,,,1.0,3.0,3.0,3.0,,
1299975.0,1,0,1.0,0.0,,0,0,1,1.0,1.0,,0,100.0,100.0,100.0,,15.0,12.0,6.0,,1.0,1.0,0.0,,,1.0,,2.0,,0.0,
1310307.0,1,0,1.0,0.0,,0,0,1,1.0,1.0,,0,100.0,100.0,100.0,,15.0,3.0,10.0,,1.0,1.0,1.0,,,1.0,3.0,1.0,3.0,2.0,3.0
1311917.0,1,0,0.0,,,0,0,1,1.0,1.0,,0,100.0,100.0,,,15.0,12.0,,,1.0,1.0,,,,1.0,3.0,3.0,,,
1313447.0,1,0,1.0,1.0,1.0,0,0,1,1.0,1.0,,0,100.0,78.5714285714286,100.0,100.0,15.0,11.0,8.0,7.0,1.0,1.0,1.0,1.0,,1.0,2.0,1.0,3.0,2.0,3.0
1313676.0,1,0,1.0,1.0,1.0,0,0,1,1.0,1.0,,0,100.0,100.0,100.0,100.0,16.0,14.0,12.0,8.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,1.0,3.0,3.0
1313810.0,1,0,0.0,,,0,0,1,1.0,1.0,,0,100.0,100.0,,,15.0,12.0,,,1.0,1.0,,,,0.0,,2.0,2.0,,
1313878.0,1,0,0.0,,,0,0,1,1.0,1.0,,0,100.0,0.0,,,16.0,0.0,,,1.0,0.0,,,,1.0,3.0,,,,
1316240.0,1,0,0.0,,,0,0,1,1.0,1.0,,0,100.0,100.0,,,18.0,12.0,,,1.0,1.0,,,,1.0,3.0,2.0,,,
1362635.0,1,0,0.0,,,0,0,1,1.0,1.0,,0,100.0,100.0,,,15.0,12.0,,,1.0,1.0,,,,1.0,3.0,3.0,3.0,,
1367779.0,1,0,0.0,,,0,0,1,1.0,1.0,,0,100.0,100.0,,,18.0,18.0,,,1.0,1.0,,,,0.0,2.0,2.0,,,
1370855.0,1,0,0.0,,,0,0,1,1.0,1.0,,0,100.0,76.9230769230769,,,16.0,10.0,,,1.0,1.0,,,,1.0,2.0,3.0,,,
1402816.0,1,0,0.0,,,0,0,1,1.0,1.0,,0,100.0,0.0,,,15.0,0.0,,,1.0,0.0,,,0.0,0.0,0.0,,,,
1406984.0,1,0,1.0,0.0,,0,0,1,1.0,1.0,,0,100.0,100.0,100.0,,18.0,12.0,11.0,,1.0,1.0,1.0,,,1.0,3.0,3.0,3.0,2.0,
1414010.0,1,0,1.0,0.0,,0,0,1,1.0,1.0,,0,100.0,100.0,100.0,,15.0,15.0,12.0,,1.0,1.0,1.0,,,0.0,3.0,3.0,3.0,3.0,2.0
1424115.0,1,0,0.0,,,0,0,1,1.0,1.0,,0,100.0,100.0,,,18.0,12.0,,,1.0,1.0,,,,0.0,1.0,2.0,2.0,,
